Tier,Monthly Rate (Min),Monthly Rate (Max),Monthly Attribution Impression Cap,CPM (Ceiling),CPM (Floor) ,Overage CPM (Ceiling +10%),Annual Rate,Quarterly Premium (+10%),Airchecks/mo,Max Advertisers / mo,Unlimited Impression Verification,Planning Included?,G Sheet Sync Included?,Brand Safety Add-on Package,Dedicated Support Slack Channel,Publisher Growth Package
1,$506.25,$562.50,"250,000",$2.25,$2.03,$2.48,"$6,750.00",$618.75,5,1,FALSE,"$2,000",$500,"$2,000","$2,000","$1,500"
2,$787.50,$875.00,"500,000",$1.75,$1.58,$1.93,"$10,500.00",$962.50,10,2,TRUE,"$1,500",$500,"$2,000","$2,000","$1,500"
4,"$1,350.00","$1,500.00","1,000,000",$1.50,$1.35,$1.65,"$18,000.00","$1,650.00",25,3,TRUE,"1,000",$500,"$1,500","$1,500","$1,500"
5,"$2,250.00","$2,500.00","2,000,000",$1.25,$1.13,$1.38,"$30,000.00","$2,750.00",50,5,TRUE,TRUE,TRUE,TRUE,"$1,500","$1,500"
6,"$3,960.00","$4,400.00","4,000,000",$1.10,$0.99,$1.21,"$52,800.00","$4,840.00",100,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,"$6,174.00","$6,860.00","7,000,000",$0.98,$0.88,$1.08,"$82,320.00","$7,546.00",250,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8,"$8,316.00","$9,240.00","10,500,000",$0.88,$0.79,$0.97,"$110,880.00","$10,164.00","1,000",50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,"$10,800.00","$12,000.00","15,000,000",$0.80,$0.72,$0.88,"$144,000.00","$13,200.00","2,500",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,"$13,320.00","$14,800.00","20,000,000",$0.74,$0.67,$0.81,"$177,600.00","$16,280.00","5,000",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,"$18,630.00","$20,700.00","30,000,000",$0.69,$0.62,$0.76,"$248,400.00","$22,770.00","10,000",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12,"$28,800.00","$32,000.00","50,000,000",$0.64,$0.58,$0.70,"$384,000.00","$35,200.00",,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
13,"$54,000.00","$60,000.00","100,000,000",$0.60,$0.54,$0.66,"$720,000.00","$66,000.00",,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14,"$99,000.00","$110,000.00","200,000,000",$0.55,$0.50,$0.61,"$1,320,000.00","$121,000.00",,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"How to Use This Sheet:
-PIck two tiers based on information you gather from the client and present a conservative option and an aggressive option. 
-Research is the only product that can be bought alone for $2,500 / month. 
-Go out with the ceiling, but know you can go down to the floor during negotiations. 
-Prices listed reflect a yearly term.
-Clients can move up a tier without their term changing by notifying us via email.
-Streaming impressions count for 0.5 an impression against the total bucket. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
,,,,,,,,,,,,FALSE,,,,
